species;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
SIL1;173;192;168;;175;179;176;194;164;190;188;159;187
SIL2;166;185;158;;166;169;171;192;159;180;188;152;181
SIL3;167;185;156;;169;174;173;191;160;177;188;156;182
SIL4;167;188;157;;175;174;171;193;161;185;194;161;186
LOI1;;175;149;;165;166;165;179;151;168;178;148;170
LOI2;166;184;152;;174;182;172;186;161;182;190;158;181
LOI3;180;191;157;;181;174;178;195;165;198;196;166;188
LOI4;;165;147;;155;167;163;172;156;163;175;146;157
SAL1;165;183;;;;170;166;185;158;180;187;151;180
SAL2;167;174;149;;;166;172;184;160;181;186;157;181
SAL3;162;182;149;;;166;167;181;159;178;184;149;180
SAL4;164;184;150;;;177;172;183;159;179;189;155;181