;;;;;;;;;;;;
;;;;;;;;;;;;
;;Zackenberg;;;;;;Nuuk;;;;
;;CAS;SAX;SAL;SIL;DRY;PAP;ERI;LOI;SAL;SIL;
;1995;3;0;0;1;0;4; -; -; -; -;
;1996;4;3;0;4;6;4; -; -; -; -;
;1997;4;3;0;4;6;4; -; -; -; -;
;1998;4;3;0;4;6;4; -; -; -; -;
;1999;4;3;0;4;6;4; -; -; -; -;
;2000;4;3;0;4;6;4; -; -; -; -;
;2001;4;3;0;4;6;4; -; -; -; -;
;2002;4;3;0;4;6;4; -; -; -; -;
;2003;4;3;0;4;6;4; -; -; -; -;
;2004;4;3;0;4;6;4; -; -; -; -;
;2005;4;3;0;4;6;4; -; -; -; -;
;2006;4;3;0;4;6;4; -; -; -; -;
;2007;4;3;0;4;6;4; -; -; -; -;
;2008;4;3;0;4;6;4;4;2;4;2;
;2009;4;3;0;4;6;4;4;4;4;3;
;2010;4;3;0;4;6;4;4;4;4;4;
;2011;4;3;0;4;6;4;4;4;4;4;
;2012;4;3;0;4;6;4;4;4;4;4;
;2013;4;3;0;4;6;4;4;3;4;4;
;2014;4;3;0;4;6;4;4;4;4;4;
;2015;4;3;0;4;6;4;4;4;4;4;
;2016;4;3;0;4;6;4;4;4;4;4;
;2017;4;3;0;4;6;4;4;4;4;4;
;2018;0;3;0;4;6;4;4;4;4;4;
;2019; -; -; -; -; -; -;4;4;4;4;
;2020; -; -; -; -; -; -;4;4;4;4;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;